code,category,value,areaName,percentGen
W92000004,-8,0,Wales,
W92000004,1,429559,Wales,31.89
W92000004,2,888881,Wales,
W92000004,3,8518,Wales,
W92000004,4,11945,Wales,
W92000004,5,8213,Wales,
E12000001,-8,0,North East,
E12000001,1,395924,North East,33.68
E12000001,2,754674,North East,
E12000001,3,8068,North East,
E12000001,4,10328,North East,
E12000001,5,6686,North East,
E12000002,-8,0,North West,
E12000002,1,1014910,North West,32.18
E12000002,2,2003814,North West,
E12000002,3,44086,North West,
E12000002,4,52417,North West,
E12000002,5,38176,North West,
E12000003,-8,0,Yorkshire and The Humber,
E12000003,1,733558,Yorkshire and The Humber,31.47
E12000003,2,1494464,Yorkshire and The Humber,
E12000003,3,32517,Yorkshire and The Humber,
E12000003,4,40868,Yorkshire and The Humber,
E12000003,5,29251,Yorkshire and The Humber,
E12000004,-8,0,East Midlands,
E12000004,1,597177,East Midlands,29.31
E12000004,2,1346316,East Midlands,
E12000004,3,32066,East Midlands,
E12000004,4,33119,East Midlands,
E12000004,5,28655,East Midlands,
E12000005,-8,0,West Midlands,
E12000005,1,725807,West Midlands,29.87
E12000005,2,1555147,West Midlands,
E12000005,3,50515,West Midlands,
E12000005,4,51815,West Midlands,
E12000005,5,46209,West Midlands,
E12000006,-8,0,East of England,
E12000006,1,759808,East of England,28.90
E12000006,2,1737686,East of England,
E12000006,3,40437,East of England,
E12000006,4,51854,East of England,
E12000006,5,38997,East of England,
E12000007,-8,0,London,
E12000007,1,1001983,London,29.26
E12000007,2,1880332,London,
E12000007,3,188395,London,
E12000007,4,165684,London,
E12000007,5,187496,London,
E12000008,-8,0,South East,
E12000008,1,1081739,South East,28.41
E12000008,2,2529011,South East,
E12000008,3,55840,South East,
E12000008,4,82428,South East,
E12000008,5,58948,South East,
E12000009,-8,0,South West,
E12000009,1,741323,South West,
E12000009,2,1631077,South West,95.52
E12000009,3,19939,South West,
E12000009,4,33815,South West,
E12000009,5,22727,South West,